ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Subfamily,Genus,GenusIcon,ISO_codes,Samples_100,Samples_200,Country_ID,Source,Parent_ID
abz,Abaza,Eurasia,44,42,abaz1241,abq,Northwest Caucasian,,Northwest Caucasian,,abq,false,false,RU,Anonymous-1956 Genko-1995 Lomtatidze-and-Klychev-1989 OHerin-2001,genus-northwestcaucasian
ace,Acehnese,Eurasia,5.5,95.5,achi1257,ace,Austronesian,,Malayo-Sumbawan,,ace,false,false,ID,Aboe-Bakar-et-al-1985 Cowan-1981 Durie-1985 Durie-1995 Durie-et-al-1994 van-Langen-1889,genus-malayosumbawan
acg,Achagua,South America,4.41666666667,-72.25,acha1250,aca,Arawakan,,Japura-Colombia,,aca,false,false,CO,Aikhenvald-2007b Huber-and-Reed-1992 Melendez-1989 Wilson-and-Levinsohn-1992,genus-japuracolombia
ach,Aché,South America,-25.25,-55.1666666667,ache1246,guq,Tupian,,Maweti-Guarani,,guq,false,false,PY,Susnik-1974,genus-mawetiguarani
aci,Achí,North America,15.1666666667,-90.5,achi1256,acr,Mayan,,Mayan,,acr,false,false,GT,Lopez-and-Iboy-1992,genus-mayan
acl,Acholi,Africa,3,32.6666666667,acol1236,ach,Eastern Sudanic,Nilotic,Western Nilotic,,ach,false,false,UG SS,Crazzolara-1938 Crazzolara-1955 Stolz-1996,genus-westernnilotic
acm,Achumawi,North America,41.5,-121,achu1247,acv,Hokan,Palaihnihan,Achumawi,,acv,false,false,US,Olmsted-1964 Olmsted-1966 Olmsted-1977 de-Angulo-and-Freeland-1931,genus-achumawi
acn,Achang,Eurasia,25,98.5,acha1249,acn,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,,acn,false,false,CN MM,Dai-and-Cui-1985,genus-burmeselolo
aco,Acoma,North America,34.9166666667,-107.583333333,west2632,kjq,Keresan,,Keresan,,kjq,true,true,US,Maring-1967 Miller-1965 Miller-1966 Nichols-1992 Spencer-1946,genus-keresan
acu,Achuar,South America,-2.66667,-76,achu1248,acu,Jivaroan,,Jivaroan,,acu,false,false,PE,Fast-and-Fast-1981 Wise-1978,genus-jivaroan
ada,Adamorobe Sign Language,Africa,5.83333333333,-0.166666666667,adam1238,ads,other,,Sign Languages,,ads,false,false,GH,Frishberg-1987,genus-signlanguages
adg,Adang,Papunesia,-8.2,124,adan1251,adn,Greater West Bomberai,Timor-Alor-Pantar,Alor-Pantar,,adn,false,false,ID,Haan-2001,genus-alorpantar
adi,Adioukrou,Africa,5.41666666667,-4.58333333333,adio1239,adj,Niger-Congo,Kwa,Agneby,,adj,false,false,CI,Herault-1978,genus-agneby
adk,Andoke,South America,-0.666666666667,-72,ando1256,ano,Andoke,,Andoke,,ano,false,false,CO,Aikhenvald-and-Dixon-1999 Landaburu-1979,genus-andoke
adn,Adynyamathanha,Australia,-30.5,139.5,adny1235,adt,Pama-Nyungan,,Central Pama-Nyungan,,adt,false,false,AU,Schebeck-1974,genus-centralpamanyungan
adt,Adyghe (Temirgoy),Eurasia,45.2166666667,39.7,adyg1241,ady,Northwest Caucasian,,Northwest Caucasian,,ady,false,false,RU,Kumaxov-1971 Rogava-and-Kerasheva-1966,genus-northwestcaucasian
ady,Adyghe (Abzakh),Eurasia,45.2333333333,40.5833333333,adyg1241,ady,Northwest Caucasian,,Northwest Caucasian,,ady,false,false,RU,Paris-1989,genus-northwestcaucasian
adz,Adzera,Papunesia,-6.25,146.25,adze1240,adz,Austronesian,Eastern Malayo-Polynesian,Oceanic,,adz,false,false,PG,Holzknecht-1973 Holzknecht-1986,genus-oceanic
aea,Aleut (Eastern),North America,54.75,-164,aleu1260,ale,Eskimo-Aleut,,Aleut,,ale,false,false,US,Bergsland-1956 Bergsland-1959 Bergsland-1994 Cho-et-al-1997 Golovko-2001 Jacobson-1944 Menovshchikov-1968 Rozelle-1997,genus-aleut
aeg,Arabic (Egyptian),Africa,30,31,egyp1253,arz,Afro-Asiatic,,Semitic,,arz,true,true,EG,Abdel-Massih-et-al-1979 Brustad-2000 Eisele-1999 Gary-and-Gamal-Eldin-1982 Kennedy-1960 Malherbe-and-Rosenberg-1996 McCarthy-1979a McCarthy-1979b Mitchell-1956 Mitchell-1962 Mitchell-and-Al-Hassan-1994 Moravcsik-1978 Tomiche-1964 Wise-1975,genus-semitic
ael,Arabic (Eastern Libyan),Africa,32,22,liby1240,ayl,Afro-Asiatic,,Semitic,,ayl,false,false,LY,Owens-1984,genus-semitic
afr,Afrikaans,Africa,-31,22,afri1274,afr,Indo-European,,Germanic,,afr,false,false,ZA,Dahl-1985 Donaldson-1993 Malherbe-and-Rosenberg-1996 Potgieter-and-Potgieter-1932 Raidt-1991 den-Besten-1996,genus-germanic
aga,Agarabi,Papunesia,-6.16666666667,146,agar1252,agd,Trans-New Guinea,Kainantu-Goroka,Gauwa,,agd,false,false,PG,Goddard-1967 Goddard-1976 Goddard-1980,genus-gauwa
agb,Leggbó,Africa,6,8,legb1242,agb,Niger-Congo,Benue-Congo,Upper Cross,,agb,false,false,NG,,genus-uppercross
agc,Agta (Central),Papunesia,17.9666666667,121.833333333,cent2084,agt,Austronesian,,Greater Central Philippine,,agt,false,false,PH,Healey-1960,genus-greatercentralphilippine
agd,Agta (Dupaningan),Papunesia,18,122.083333333,dupa1235,duo,Austronesian,,Greater Central Philippine,,duo,false,false,PH,Robinson-2008,genus-greatercentralphilippine
agh,Aghem,Africa,6.66666666667,10,aghe1239,agq,Niger-Congo,Benue-Congo,Wide Grassfields,,agq,false,false,CM,Anderson-1979 Hyman-1979 Watters-1979,genus-widegrassfields
agl,Aghul,Eurasia,41.75,47.6666666667,aghu1253,agx,Nakh-Daghestanian,Daghestanian,Lezgic,,agx,false,false,RU,Boguslavskaja-1989 Magometov-1970 Merdanova-and-Daniel-2001 von-Erckert-1895,genus-lezgic
agm,Angami,Eurasia,25.6666666667,94.5,anga1288,njm,Sino-Tibetan,Tibeto-Burman,Angami-Pochuri,,njm,false,false,IN,Giridhar-1980 Grierson-1904 Subbarao-and-Murthy-2000 Subbarao-et-al-2000,genus-angamipochuri
ago,Angolar,Africa,0.25,6.5,ango1258,aoa,other,,Creoles and Pidgins,,aoa,false,false,ST,Lorenzino-1998 Maurer-1995,genus-creolesandpidgins
agr,Aguaruna,South America,-5,-78,agua1253,agr,Jivaroan,,Jivaroan,,agr,false,false,PE,Larsen-1963 Larson-1966 Wise-1999,genus-jivaroan
agt,Anguthimri,Australia,-12.3333333333,141.833333333,angu1242,awg,Pama-Nyungan,,Northern Pama-Nyungan,,awg,false,false,AU,Crowley-1981,genus-northernpamanyungan
agu,Aguacatec,North America,15.4166666667,-91.3333333333,agua1252,agu,Mayan,,Mayan,,agu,false,false,GT,McArthur-and-McArthur-1956 McArthur-and-McArthur-1966,genus-mayan
agw,Alagwa,Africa,-5.5,35.75,alag1248,wbj,Afro-Asiatic,Cushitic,Southern Cushitic,,wbj,false,false,TZ,Mous-nd,genus-southerncushitic
aho,Arapaho,North America,40,-103,arap1274,arp,Algic,,Algonquian,,arp,false,false,US,Salzmann-1956 Salzmann-1967,genus-algonquian
ahs,Arabic (Bani-Hassan),Africa,20,-10,hass1238,mey,Afro-Asiatic,,Semitic,,mey,false,false,MR,Irshied-and-Kenstowicz-1984,genus-semitic
aht,Ahtna,North America,62,-145,ahte1237,aht,Na-Dene,,Athapaskan,,aht,false,false,US,Kari-1990,genus-athapaskan
ahu,Aghu,Papunesia,-6.16666666667,140.166666667,aghu1255,ahh,Trans-New Guinea,Awyu-Ok,Awju,,ahh,false,false,ID,Drabbe-1957,genus-awju
aik,Aikaná,South America,-12.6666666667,-60.6666666667,aika1237,tba,Aikaná,,Aikaná,,tba,false,false,BR,Aikhenvald-and-Dixon-1999 Hanke-1956,genus-aikana
ain,Ainu,Eurasia,43,143,ainu1240,ain,Ainu,,Ainu,,ain,false,true,JP,Alpatov-et-al-2007 Dettmer-1989 Nichols-1992 Patrie-1982 Refsing-1986 Shibatani-1990 Simeon-1969 Tamura-1988 Tamura-2000,genus-ainu
aiz,Aizi,Africa,5.25,-4.5,apro1235,ahp,Niger-Congo,,Kru,,ahp,false,false,CI,Herault-1971,genus-kru
aja,Aja,Africa,7.33333333333,25.6666666667,ajas1235,aja,Central Sudanic,,Kresh,,aja,false,false,CF SS,Santandrea-1976,genus-kresh
ajg,Ajagbe,Africa,7,1.75,ajab1235,ajg,Niger-Congo,Kwa,Gbe,,ajg,false,false,BJ TG,Tchitchi-1984,genus-gbe
aji,Ajië,Papunesia,-21.3333333333,165.5,ajie1238,aji,Austronesian,Eastern Malayo-Polynesian,Oceanic,,aji,false,false,NC,Lichtenberk-1978,genus-oceanic
aka,Aka,Africa,2.66666666667,16.25,yaka1272,axk,Niger-Congo,Benue-Congo,Bantu,,axk,false,false,CF CG,Cloarec-Heiss-and-Thomas-1978,genus-bantu
akb,Aka-Biada,Eurasia,11.6666666667,92.5,akab1249,abj,Great Andamanese,,Great Andamanese,,abj,false,false,IN,Portman-1887b,genus-greatandamanese
akc,Aka-Cari,Eurasia,13.5,93,akac1240,aci,Great Andamanese,,Great Andamanese,,aci,false,false,IN,Portman-1887b,genus-greatandamanese
akh,Akha,Eurasia,21.8333333333,99.8333333333,akha1245,ahk,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,,ahk,false,false,CN TH MM,Dellinger-1969 Hansson-2003 Thurgood-1986,genus-burmeselolo
akk,Aka-Kede,Eurasia,12.75,92.75,akak1252,akx,Great Andamanese,,Great Andamanese,,akx,false,false,IN,Portman-1887b,genus-greatandamanese
akl,Aklanon,Papunesia,11.5833333333,122.333333333,akla1241,akl,Austronesian,,Greater Central Philippine,,akl,false,false,PH,Chai-1971,genus-greatercentralphilippine
akm,Arakanese (Marma),Eurasia,21.5,92.5,marm1234,rmz,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,,rmz,false,false,BD MM,,genus-burmeselolo
akn,Akan,Africa,6.5,-1.25,akan1250,aka,Niger-Congo,Kwa,Tano,,aka,false,false,GH,Balmer-and-Grant-1929 Christaller-1875 Dahl-1985 Dolphyne-1988 Ladefoged-1964 Obeng-2001 Redden-et-al-1963 Saah-and-Eze-1997 Schachter-and-Fromkin-1968 Stewart-1967 Welmers-1946,genus-tano
ako,Arabic (Kormakiti),Eurasia,35.25,33.5,cypr1248,acy,Afro-Asiatic,,Semitic,,acy,false,false,CY,,genus-semitic
akr,Arikara,North America,45.5,-100.5,arik1262,ari,Caddoan,,Northern Caddoan,,ari,false,false,US,Merlan-1975 Parks-1986,genus-northerncaddoan
akw,Akawaio,South America,6,-59.5,akaw1239,ake,Cariban,,Cariban,,ake,false,false,GY,Edwards-1978 Stefanowitsch-2002,genus-cariban
ala,Alamblak,Papunesia,-4.66666666667,143.333333333,alam1246,amp,Sepik,,Sepik Hill,,amp,true,true,PG,Bruce-1984 Nichols-1992,genus-sepikhill
alb,Albanian,Eurasia,41,20,,sqi,Indo-European,,Albanian,,sqi,false,false,RS AL,Buchholz-and-Fiedler-1987 Camaj-1969 Camaj-1984 Friedman-1986 Hetzer-1991 Kacori-1979 Mann-1977 Maxwell-1979 Newmark-1957 Newmark-et-al-1982,genus-albanian
alc,Allentiac,South America,-31,-68,alle1238,,Huarpe,,Huarpe,,,false,false,AR,Adelaar-2004,genus-huarpe
ald,Alladian,Africa,5.16666666667,-4.33333333333,alla1248,ald,Niger-Congo,Kwa,Avikam-Alladian,,ald,false,false,CI,Dumestre-and-Duponchel-1971 Duponchel-1971,genus-avikamalladian
ale,Aleut,North America,54,-166,aleu1260,ale,Eskimo-Aleut,,Aleut,,ale,false,false,US,Bergsland-1994 Bergsland-1997 Menovshchikov-1968,genus-aleut
alg,Algonquin,North America,46,-77,algo1255,alq,Algic,,Algonquian,,alq,false,false,CA,Lemoine-1911,genus-algonquian
alk,Arop-Lokep,Papunesia,-5.38333333333,147.05,arop1243,apr,Austronesian,Eastern Malayo-Polynesian,Oceanic,,apr,false,false,PG,DJernes-2002,genus-oceanic
all,Ala'ala,Papunesia,-8.91666666667,146.75,lala1268,nrz,Austronesian,Eastern Malayo-Polynesian,Oceanic,,nrz,false,false,PG,Clunn-and-Kolia-1977 Lanyon-Orgill-1943 Ross-2002d Symonds-1989,genus-oceanic
aln,Alune,Papunesia,-3,128.333333333,alun1238,alp,Austronesian,,Central Malayo-Polynesian,,alp,false,false,ID,Makaruku-et-al-1997 Niggemeyer-1951 Taguchi-and-Taguchi-1990,genus-centralmalayopolynesian
als,Alsea,North America,44.6666666667,-123.916666667,alse1251,aes,Oregon Coast,,Alsea,,aes,false,false,US,Buckley-1987 Buckley-1989 Frachtenberg-1920,genus-alsea
alt,Alsatian,Eurasia,48.5,7.5,swis1247,gsw,Indo-European,,Germanic,,gsw,false,false,FR,Malherbe-and-Rosenberg-1996,genus-germanic
alu,Alutor,Eurasia,61,165,alut1245,alr,Chukotko-Kamchatkan,,Northern Chukotko-Kamchatkan,,alr,false,false,RU,Kibrik-et-al-2000 Skorik-1986,genus-northernchukotkokamchatkan
alw,Alawa,Australia,-15.1666666667,134.25,alaw1244,alh,Mangarrayi-Maran,,Mara,,alh,false,false,AU,Dahl-1985 Sharpe-1972,genus-mara
alx,Alas,Papunesia,3.66666666667,97.8333333333,bata1292,btz,Austronesian,,Northwest Sumatra-Barrier Islands,,btz,false,false,ID,Akbar-et-al-1985,genus-northwestsumatrabarrierislands
aly,Alyawarra,Australia,-22.5,135,alya1239,aly,Pama-Nyungan,,Central Pama-Nyungan,,aly,false,false,AU,Bybee-et-al-1994 Fabricius-1998 Stolz-1996 Yallop-1977 Yallop-1992,genus-centralpamanyungan
ama,Amara,Papunesia,-5.66666666667,148.5,amar1272,aie,Austronesian,Eastern Malayo-Polynesian,Oceanic,,aie,false,false,PG,Thurston-1996,genus-oceanic
amb,Ambulas,Papunesia,-3.83333333333,143,ambu1247,abt,Sepik,,Ndu,,abt,false,false,PG,Laycock-1965a Nichols-1992 Wilson-1980,genus-ndu
amc,Amahuaca,South America,-10.5,-72.5,amah1246,amc,Pano-Tacanan,,Panoan,,amc,false,false,BR PE,Hyde-1980 Osborn-1948 Russell-1975 Sparing-Chavez-1998,genus-panoan
amd,Amdo,Eurasia,35,100,amdo1237,adx,Sino-Tibetan,Tibeto-Burman,Bodic,,adx,false,false,CN,Sun-1993,genus-bodic
ame,Amele,Papunesia,-5.25,145.583333333,amel1241,aey,Trans-New Guinea,Madang,Mabuso,,aey,true,true,PG,Nichols-1992 Roberts-1987 Roberts-1990 Roberts-1993,genus-mabuso
amh,Amharic,Africa,10,38,amha1245,amh,Afro-Asiatic,,Semitic,,amh,false,false,ET,Bentolila-and-Shimelis-1998 Cohen-1936 Cotterell-1964 Cowley-et-al-1976 Dahl-1985 Devens-2001a Dillmann-and-Bezold-1907 Hartmann-1980 Hayward-and-Hayward-1999 Hudson-1997 Leslau-1966 Leslau-1968a Leslau-1976 Leslau-1995 Leslau-1997b Malherbe-and-Rosenberg-1996 Nichols-1992 Titov-1991,genus-semitic
ami,Amis,Papunesia,23.3333333333,121.333333333,amis1246,ami,Austronesian,,East Formosan,,ami,false,false,TW,Wu-2006,genus-eastformosan
amk,Amarakaeri,South America,-12.5,-70.5,amar1274,amr,Harakmbet,,Harakmbet,,amr,false,false,PE,Derbyshire-and-Payne-1990 Helberg-Chavez-1984 Wise-1978,genus-harakmbet
aml,Ambae (Lolovoli Northeast),Papunesia,-15.4166666667,167.883333333,east2443,omb,Austronesian,Eastern Malayo-Polynesian,Oceanic,,omb,false,false,VU,Hyslop-2001,genus-oceanic
amm,Ama,Papunesia,-4.21666666667,141.616666667,amap1240,amm,Left May,,Left May,,amm,false,false,PG,,genus-leftmay
amn,Amanab,Papunesia,-3.58333333333,141.25,aman1265,amn,Border,,Border,,amn,false,false,PG,Minch-1992,genus-border
amo,Amo,Africa,10.3333333333,8.66666666667,amoo1242,amo,Niger-Congo,Benue-Congo,Central Kainji,,amo,false,false,NG,Anderson-1980 Di-Luzio-1972,genus-centralkainji
amp,Arrernte (Mparntwe),Australia,-24,136,east2379,aer,Pama-Nyungan,,Central Pama-Nyungan,,aer,false,false,AU,Henderson-1994 Henderson-and-Dobson-1999 Raimy-2000 Wilkins-1989,genus-centralpamanyungan
amq,Ambai,Papunesia,-1.83333333333,136.5,amba1265,amk,Austronesian,Eastern Malayo-Polynesian,South Halmahera - West New Guinea,,amk,false,false,ID,Silzer-1983,genus-southhalmaherawestnewguinea
amr,Arabic (Moroccan),Africa,34,-6,moro1292,ary,Afro-Asiatic,,Semitic,,ary,false,false,MA,Abdel-Massih-1973 Caubet-1993 Harrell-1962 Harrell-and-Sobelman-1966 Harrell-et-al-1965 Heath-1997 Maas-1999 Marcais-1977,genus-semitic
ams,Arabic (Modern Standard),Eurasia,25,42,stan1318,arb,Afro-Asiatic,,Semitic,,arb,false,false,KW SO SY OM QA EG TN MA LY KM JO LB ER YE SA IQ PS DZ AE BH SD IL,Cowan-1958 Haywood-and-Nahmad-1965 Nasr-1967,genus-semitic
amt,Amdo (Themchen),Eurasia,38,98,amdo1237,adx,Sino-Tibetan,Tibeto-Burman,Bodic,,adx,false,false,NP,Haller-2004,genus-bodic
amu,Amuesha,South America,-10.5,-75.4166666667,yane1238,ame,Arawakan,,Yanesha',,ame,false,false,PE,Duff-Tripp-1997 Fast-1953 Wise-1958 Wise-1978 Wise-1986 Wise-1990,genus-yanesha
amx,Anamuxra,Papunesia,-4.66666666667,145,anam1248,imi,Trans-New Guinea,Madang,Josephstaal,,imi,false,false,PG,Ingram-2001,genus-josephstaal
amz,Amuzgo,North America,16.8333333333,-98,guer1243,amu,Oto-Manguean,,Amuzgoan,,amu,false,false,MX,Bauernschmidt-1965 Longacre-1966,genus-amuzgoan
ana,Araona,South America,-12.3333333333,-67.75,arao1248,aro,Pano-Tacanan,,Tacanan,,aro,false,true,BO,Gonzalez-1997 Pitman-1980 de-Pitman-1981,genus-tacanan
anc,Angas,Africa,9.5,9.5,ngas1240,anc,Afro-Asiatic,Chadic,West Chadic,,anc,false,false,NG,Burquest-1971 Burquest-1973 Burquest-1986,genus-westchadic
ane,Anêm,Papunesia,-5.58333333333,149.083333333,anem1249,anz,Anêm,,Anêm,,anz,false,false,PG,Thurston-1982,genus-anem
ang,Anggor,Papunesia,-3.75,141.166666667,ango1254,agg,Senagi,,Senagi,,agg,false,false,PG,Litteral-1972 Litteral-1980,genus-senagi
ani,//Ani,Africa,-18.9166666667,21.9166666667,anii1246,hnh,Khoe-Kwadi,,Khoe-Kwadi,,hnh,false,false,BW,Heine-1999a Vossen-1986 Vossen-1997,genus-khoekwadi
anj,Anejom,Papunesia,-20.2,169.8,anei1239,aty,Austronesian,Eastern Malayo-Polynesian,Oceanic,,aty,false,false,VU,Lynch-1982a Lynch-2000,genus-oceanic
anl,Arabic (North Levantine Spoken),Eurasia,33.75,36,nort3139,apc,Afro-Asiatic,,Semitic,,apc,false,false,LB,Mitchell-and-Al-Hassan-1994,genus-semitic
ann,Anindilyakwa,Australia,-14,136.5,anin1240,aoi,Gunwinyguan,,Anindilyakwa,,aoi,false,false,AU,Groote-Eylandt-Linguistics-1993 Leeding-1989,genus-anindilyakwa
ano,Anong,Eurasia,27.3333333333,98.75,nung1282,nun,Sino-Tibetan,Tibeto-Burman,Nungish,,nun,false,false,CN MM,Sun-1988,genus-nungish
ant,Angaataha,Papunesia,-7.21666666667,146.25,anga1290,agm,Trans-New Guinea,,Angaataha,,agm,false,false,PG,Huisman-1973 Huisman-and-Lloyd-1981 Huisman-et-al-1981,genus-angaataha
anu,Anufo,Africa,10.0833333333,0.25,anuf1239,cko,Niger-Congo,Kwa,Tano,,cko,false,false,TG BJ GH,Smye-2004 Stanford-and-Stanford-1970,genus-tano
anx,Andi,Eurasia,42.75,46.25,andi1255,ani,Nakh-Daghestanian,Daghestanian,Avar-Andic-Tsezic,,ani,false,false,RU,Cercvadze-1967,genus-avarandictsezic
any,Anywa,Africa,8,33.5,anua1242,anu,Eastern Sudanic,Nilotic,Western Nilotic,,anu,false,false,ET SS,Lusted-1976 Reh-1996,genus-westernnilotic
ao,Ao,Eurasia,26.5833333333,94.6666666667,aona1235,njo,Sino-Tibetan,Tibeto-Burman,Central Naga,,njo,false,false,IN,Clark-1893 Coupe-1999 Coupe-2007 Gowda-1972 Gowda-1975 Gurubasave-1975 Mills-1926,genus-centralnaga
aoj,Mufian,Papunesia,-3.5,143,mufi1238,aoj,Torricelli,,Kombio-Arapesh,,aoj,false,false,PG,Alungum-et-al-1978 Wilson-2008,genus-kombioarapesh
apa,Arabic (Palestinian),Eurasia,32,35.25,sout3123,ajp,Afro-Asiatic,,Semitic,,ajp,false,false,PS,Abu-Salim-1980 Abu-Salim-1982 Brahme-1973 Brahme-1974 Kenstowicz-and-Abdul-Karim-1980 Shahin-1995,genus-semitic
apc,Apache (Chiricahua),North America,33.25,-108,mesc1238,apm,Na-Dene,,Athapaskan,,apm,false,false,US,Breuninger-et-al-1982 Hoijer-1946a,genus-athapaskan
ape,Ampeeli,Papunesia,-6.75,146.083333333,safe1240,apz,Trans-New Guinea,,Nuclear Angan,,apz,false,false,PG,,genus-nuclearangan
api,Apinayé,South America,-5.5,-48,apin1244,apn,Macro-Ge,Je,Je Setentrional,,apn,false,false,BR,Burgess-and-Ham-1968 Callow-1962 Ham-et-al-1979 Martius-1863,genus-jesetentrional
apj,Apache (Jicarilla),North America,36.5833333333,-104,jica1244,apj,Na-Dene,,Athapaskan,,apj,false,false,US,Jung-2002 Mersol-1977,genus-athapaskan
apk,A-Pucikwar,Eurasia,12.1666666667,92.8333333333,apuc1241,apq,Great Andamanese,,Great Andamanese,,apq,false,false,IN,Portman-1887b,genus-greatandamanese
apl,Apalaí,South America,0,-54,apal1257,apy,Cariban,,Cariban,,apy,false,false,BR,Koehn-and-Koehn-1986,genus-cariban
apt,Apatani,Eurasia,27.5,93.75,apat1240,apt,Sino-Tibetan,Tibeto-Burman,Tani,,apt,false,false,IN,Abraham-1985,genus-tani
apu,Apurinã,South America,-9,-67,apur1254,apu,Arawakan,,Purus,,apu,true,true,BR,Derbyshire-and-Payne-1990 Facundes-2000 Pickering-1977 Polak-1894,genus-purus
apw,Apache (Western),North America,33.75,-110,west2615,apw,Na-Dene,,Athapaskan,,apw,false,false,US,Edgerton-1963 Perry-et-al-nd,genus-athapaskan
ara,Lokono,South America,5.5,-55.1666666667,araw1276,arw,Arawakan,,Antillean Arawakan,,arw,false,false,SR,Bennett-1989 Pet-1979 Pet-1987 Taylor-1969a,genus-antilleanarawakan
arb,Arabela,South America,-2,-75.1666666667,arab1268,arl,Zaparoan,,Zaparoan,,arl,false,false,PE,Derbyshire-and-Payne-1990 Rich-1963 Rich-1999 Wise-1999,genus-zaparoan
arc,Archi,Eurasia,42,46.8333333333,arch1244,aqc,Nakh-Daghestanian,Daghestanian,Lezgic,,aqc,false,false,RU,Corbett-1991 Kibrik-1975 Kibrik-1994a Kibrik-et-al-1977 Kodzasov-1977 Kodzasov-1999a,genus-lezgic
ard,Arandai,Papunesia,-2.08333333333,133,aran1237,jbj,South Bird's Head,,South Bird's Head Proper,,jbj,false,false,ID,Voorhoeve-1985,genus-southbirdsheadproper
arg,Arabic (Gulf),Eurasia,26,49,gulf1241,afb,Afro-Asiatic,,Semitic,,afb,false,false,KW OM QA IR SA IQ BH,Holes-1990 Qafisheh-1977,genus-semitic
arh,Arabic (Hijazi),Eurasia,26,38,hija1235,acw,Afro-Asiatic,,Semitic,,acw,false,false,SA,Al-Mozainy-1981,genus-semitic
ari,Aribwatsa,Papunesia,-6.71666666667,147,arib1241,laz,Austronesian,Eastern Malayo-Polynesian,Oceanic,,laz,false,false,PG,Holzknecht-1997a,genus-oceanic
arj,Arabic (Kuwaiti),Eurasia,29.5,47.5,gulf1241,afb,Afro-Asiatic,,Semitic,,afb,false,false,KW,,genus-semitic
ark,Araki,Papunesia,-15.6666666667,166.916666667,arak1252,akr,Austronesian,Eastern Malayo-Polynesian,Oceanic,,akr,false,false,VU,Francois-2002,genus-oceanic
arl,Arabic (Lebanese),Eurasia,34,36,nort3139,apc,Afro-Asiatic,,Semitic,,apc,false,false,LB,Kenstowicz-and-Abdul-Karim-1980 McCarus-1992,genus-semitic
arm,Armenian (Eastern),Eurasia,40,45,nucl1235,hye,Indo-European,,Armenian,,hye,false,true,AM,Abeghian-1936 Allen-1950 Fairbanks-1958 Garibjan-1976 Garibjan-and-Garibjan-1970 Greppin-2001 Gulian-1957 Gulian-1990 Gureghian-and-Gureghian-1999 Kozintseva-1995 Kozintseva-1999 Kozintseva-2001 Malherbe-and-Rosenberg-1996 Minassian-1980 Nichols-1992 Stevick-1955 Tumanjan-1966,genus-armenian
arn,Arabic (Borno Nigerian),Africa,8.58333333333,12.4166666667,chad1249,shu,Afro-Asiatic,,Semitic,,shu,false,false,NG,Owens-1993,genus-semitic
